ensembl_id	hgnc_symbol	chr	start	end	strand
ENSG00000203441	LINC00449	13	100151981	100153306	-1
ENSG00000234031	RPS3AP44	13	27151023	27151812	1
ENSG00000212197	RNY3P6	13	100188573	100188650	-1
ENSG00000234168	LINC01039	13	100229366	100232622	1
ENSG00000237001	WASF3-AS1	13	27180681	27215501	-1
ENSG00000234239	CFL1P8	13	100234960	100235434	1
ENSG00000230256	FGFR1OP2P1	13	27479499	27479998	1
ENSG00000223782	RPS21P8	13	27551680	27551926	1
ENSG00000263615	MIR4306	13	100295313	100295403	1
ENSG00000218198	RPS20P32	13	27591688	27592046	-1
ENSG00000227659	CLYBL-AS2	13	100342335	100343225	-1
ENSG00000232162	USP12-AS1	13	27736992	27743272	1
ENSG00000234303	CLYBL-AS1	13	100378501	100379745	-1
ENSG00000230641	USP12-AS2	13	27746396	27757135	1
ENSG00000234772	LINC00412	13	27810419	27810948	-1
ENSG00000207500	SNORD102	13	27829201	27829272	1
ENSG00000260738	LINC00554	13	100647153	100650163	-1
ENSG00000207051	SNORA27	13	27829538	27829663	1
ENSG00000225999	NDUFA12P1	13	100680023	100680428	-1
ENSG00000252247	RNU6-70P	13	27917785	27917883	-1
ENSG00000229609	LINC01079	13	27947485	27948503	1
ENSG00000236554	ASNSP3	13	100714550	100715855	-1
ENSG00000201242	RNY1P1	13	27976613	27976724	-1
ENSG00000252499	RNU6-63P	13	28062275	28062369	1
ENSG00000228501	RPL15P18	13	100802735	100803346	-1
ENSG00000226703	NPM1P4	13	28270530	28271341	-1
ENSG00000207330	RNU6-73P	13	28402900	28403006	1
ENSG00000234650	PCCA-AS1	13	101116694	101133411	-1
ENSG00000247381	PDX1-AS1	13	28407581	28495541	-1
ENSG00000260704	LINC00543	13	28527663	28529507	1
ENSG00000242360	RN7SL272P	13	28563435	28563721	-1
ENSG00000271026	KATNBL1P1	13	28641724	28642471	1
ENSG00000235115	CHCHD2P8	13	28681568	28682014	1
ENSG00000234354	RPS26P47	13	101192089	101192528	-1
ENSG00000261485	PAN3-AS1	13	28710980	28712330	-1
ENSG00000237082	COX5BP6	13	101276129	101276683	-1
ENSG00000232587	EEF1A1P3	13	28788650	28790034	1
ENSG00000200840	RNU6-82P	13	28806638	28806744	1
ENSG00000233009	NALCN-AS1	13	101360579	101711638	1
ENSG00000235472	EIF4A1P7	13	29172970	29174189	1
ENSG00000202237	RNU6-53P	13	29277839	29277944	-1
ENSG00000214051	ARF4P3	13	101408805	101409313	-1
ENSG00000233588	CYP51P2	13	29296523	29298158	-1
ENSG00000229599	LINC00411	13	101593116	101596618	-1
ENSG00000236339	POM121L13P	13	29352695	29353074	1
ENSG00000201155	RNU1-24P	13	102431234	102431398	-1
ENSG00000236758	MTUS2-AS2	13	29813516	29824691	-1
ENSG00000215399	HMGB3P7	13	102454228	102454838	1
ENSG00000265164	MIR2681	13	102619992	102620096	-1
ENSG00000223460	GAPDHP69	13	29880915	29881922	1
ENSG00000229975	LIPT1P1	13	102654475	102655660	1
ENSG00000201690	RNY1P2	13	102669303	102669419	-1
ENSG00000179141	MTUS2-AS1	13	30050652	30064242	-1
ENSG00000264482	MIR4705	13	102698284	102698354	-1
ENSG00000236860	RPL39P29	13	102915396	102915552	-1
ENSG00000236258	TIMM8BP1	13	30440096	30440306	-1
ENSG00000224329	LINC00297	13	30446750	30462542	-1
ENSG00000243319	FGF14-IT1	13	102944677	103046869	-1
ENSG00000224405	LINC00572	13	30492784	30500788	-1
ENSG00000234445	FGF14-AS1	13	103019889	103026016	1
ENSG00000122043	LINC00544	13	30510042	30524625	1
ENSG00000272143	FGF14-AS2	13	103046980	103048053	1
ENSG00000261057	LINC00555	13	103241722	103242163	-1
ENSG00000224511	LINC00365	13	30677315	30683012	-1
ENSG00000232117	LINC00384	13	30726023	30733758	-1
ENSG00000231633	LINC00283	13	103395340	103397574	1
ENSG00000232643	LINC00385	13	30728203	30728723	1
ENSG00000222301	RNY5P8	13	103472343	103472419	1
ENSG00000252928	RNU6-64P	13	30855902	30856006	1
ENSG00000250878	METTL21EP	13	103532449	103548383	1
ENSG00000215049	PRDX2P1	13	30870284	30870872	1
ENSG00000236463	LINC00427	13	30890497	30894040	-1
ENSG00000230474	ATP6V1G1P7	13	104096970	104097318	-1
ENSG00000225823	RPL7P45	13	105466678	105467420	1
ENSG00000232307	DAOA-AS1	13	106111404	106158030	-1
ENSG00000238121	LINC00426	13	30914407	30951282	-1
ENSG00000226620	LINC00343	13	106356629	106416789	1
ENSG00000225039	LINC01058	13	30993656	30996374	-1
ENSG00000236444	UBE2L5P	13	31002084	31002656	1
ENSG00000222682	RNA5SP38	13	106807721	106807839	-1
ENSG00000213411	RBM22P2	13	31113734	31117598	-1
ENSG00000233532	LINC00460	13	107028911	107030565	1
ENSG00000232489	MFAP1P1	13	31115780	31117034	-1
ENSG00000174418	RPL35P9	13	107078121	107078470	1
ENSG00000224117	PTPN2P2	13	31127807	31128830	1
ENSG00000272274	LINC00551	13	107270158	107283707	1
ENSG00000230156	LINC00443	13	107306264	107324511	1
ENSG00000237879	LINC00398	13	31377343	31384782	1
ENSG00000227590	ATP5G1P5	13	107315785	107316195	1
ENSG00000174408	PPIAP24	13	107516164	107516634	-1
ENSG00000224743	TEX26-AS1	13	31456070	31507983	-1
ENSG00000221650	MIR1267	13	108183519	108183596	-1
ENSG00000227248	FAM155A-IT1	13	108440690	108487799	-1
ENSG00000223177	RNA5SP39	13	108953560	108953679	-1
ENSG00000232087	HCFC2P1	13	109132574	109134165	1
ENSG00000229938	MYO16-AS2	13	109753609	109754267	-1
ENSG00000236094	LINC00545	13	31456688	31457532	1
ENSG00000236242	MYO16-AS1	13	109816250	109853831	-1
ENSG00000223617	LINC00370	13	109934321	109940081	1
ENSG00000230403	LINC01066	13	31569299	31570275	-1
ENSG00000236053	LINC01067	13	109962483	109964121	1
ENSG00000265841	MIR548X	21	20058408	20058482	-1
ENSG00000231894	WDR95P	13	31651391	31689836	1
ENSG00000229792	LINC00399	13	110053043	110053988	1
ENSG00000234854	LINC00676	13	110380629	110382354	1
ENSG00000198618	PPIAP22	21	20230097	20230594	1
ENSG00000229427	ANKRD26P4	13	31885426	31887058	1
ENSG00000201161	RN7SKP10	13	110567443	110567767	1
ENSG00000231428	LINC00396	13	110705632	110707299	1
ENSG00000229715	EEF1DP3	13	32420978	32527609	1
ENSG00000265885	RN7SL783P	13	110750200	110750498	-1
ENSG00000224821	COL4A2-AS2	13	111108743	111115634	-1
ENSG00000235822	LINC01073	13	32559822	32565134	1
ENSG00000237637	FRY-AS1	13	32599451	32605776	-1
ENSG00000232814	COL4A2-AS1	13	111154922	111160526	-1
ENSG00000226818	SLC6A6P1	21	20616860	20618709	1
ENSG00000215515	IFIT1P1	13	32958797	32960245	1
ENSG00000225239	RPL21P107	13	111415021	111415480	-1
ENSG00000212609	RNU1-139P	21	20717465	20717629	1
ENSG00000259831	LINC00567	13	111462023	111465431	-1
ENSG00000230198	RPL37P4	21	20966155	20966422	1
ENSG00000229152	ANKRD10-IT1	13	111547406	111551519	-1
ENSG00000229800	ATP8A2P2	13	33051411	33052978	1
ENSG00000227105	PARP1P1	13	111589106	111592131	1
ENSG00000215353	C1QBPP	21	21131673	21132442	-1
ENSG00000225760	LINC00431	13	111635654	111642911	1
ENSG00000225870	LINC00368	13	111748185	111755444	1
ENSG00000251851	RNU6-772P	21	21728060	21728164	-1
ENSG00000252963	RN7SKP147	21	21728965	21729208	1
ENSG00000235875	ARHGEF7-AS2	13	111766159	111768025	-1
ENSG00000207325	RNY1P4	13	33337576	33337690	-1
ENSG00000233676	FDPSP6	21	21760646	21761157	1
ENSG00000226968	LINC00423	13	33451569	33485788	-1
ENSG00000233644	ARHGEF7-IT1	13	111774999	111796611	1
ENSG00000234439	KRT18P2	21	21797261	21798518	-1
ENSG00000227352	ARHGEF7-AS1	13	111796652	111797080	-1
ENSG00000227604	TOMM22P3	13	33528195	33528539	-1
ENSG00000233206	RPS3AP1	21	21802755	21803074	-1
ENSG00000230300	STARD13-IT1	13	33732724	33738546	-1
ENSG00000226903	LINC00354	13	112554299	112555490	1
ENSG00000224924	LINC00320	21	22114908	22175534	-1
ENSG00000229520	LINC00404	13	112760409	112761196	-1
ENSG00000215351	PPIAP1	21	22200445	22200940	-1
ENSG00000224243	LINC00403	13	112761433	112762329	1
ENSG00000260102	LINC01070	13	112851664	112855314	1
ENSG00000260343	LINC01043	13	112967781	112976072	1
ENSG00000223626	LINC01044	13	112976881	112985539	-1
ENSG00000232684	ATP11A-AS1	13	113399763	113409007	-1
ENSG00000238265	LINC00317	21	23095613	23109639	-1
ENSG00000236581	STARD13-AS	13	33845516	33855471	1
ENSG00000188403	IGHV1OR15-9	15	20169919	20170354	-1
ENSG00000235280	MCF2L-AS1	13	113621798	113623138	-1
ENSG00000231882	F10-AS1	13	113782469	113783194	-1
ENSG00000230371	KARSP2	13	113784730	113786368	1
ENSG00000259490	IGHV3OR15-7	15	20192909	20193370	-1
ENSG00000232662	LDHBP1	13	113930931	113932049	1
ENSG00000270961	IGHD5OR15-5A	15	20209093	20209115	-1
ENSG00000225083	GRTP1-AS1	13	114005988	114016183	1
ENSG00000233613	DCUN1D2-AS	13	114123216	114130450	1
ENSG00000271317	IGHD4OR15-4A	15	20210050	20210068	-1
ENSG00000202347	RNU1-16P	13	114133230	114133393	-1
ENSG00000227208	LINC00552	13	114451484	114454062	-1
ENSG00000270783	IGHD3OR15-3A	15	20211158	20211188	-1
ENSG00000233695	GAS6-AS1	13	114518603	114542321	1
ENSG00000271197	IGHD2OR15-2A	15	20213655	20213685	-1
ENSG00000272695	GAS6-AS2	13	114567141	114569806	1
ENSG00000184856	LINC00308	21	23470936	23488847	1
ENSG00000271336	IGHD1OR15-1A	15	20216406	20216422	-1
ENSG00000265259	RN7SL247P	18	21852889	21853170	-1
ENSG00000212051	MIR320C2	18	21901650	21901699	1
ENSG00000226921	LINC00454	13	114581673	114586624	-1
ENSG00000252397	RNU5A-4P	13	34403676	34403786	-1
ENSG00000227254	VDAC1P12	13	34656566	34657447	-1
ENSG00000229373	LINC00452	13	114586640	114626485	1
ENSG00000215405	GOLGA6L6	15	20737094	20747114	-1
ENSG00000225179	LINC00457	13	35009587	35214822	-1
ENSG00000260910	LINC00565	13	114629487	114631817	-1
ENSG00000202339	RNU4-45P	21	23577511	23577651	1
ENSG00000232487	RASA3-IT1	13	114873044	114874295	-1
ENSG00000231910	GAMTP2	13	35148341	35148803	-1
ENSG00000264539	MIR548AR	13	115009980	115010036	1
ENSG00000223488	MAPK6PS2	21	23808610	23810669	-1
ENSG00000265450	MIR4502	13	115039303	115039383	1
ENSG00000232795	SCAND3P1	13	35759431	35760816	1
ENSG00000226158	CLCP2	13	115072121	115072541	1
ENSG00000234835	PHBP13	13	35825207	35825966	1
ENSG00000229723	LINC01054	13	115095034	115099423	-1
ENSG00000236036	LINC00445	13	36271661	36273393	1
ENSG00000207203	RNU6-71P	13	36841305	36841411	1
ENSG00000169861	IGHV1OR21-1	21	10862622	10863067	1
ENSG00000223383	HIST1H2APS6	13	37064215	37064578	-1
ENSG00000235306	GAPDHP34	13	37314178	37315000	1
ENSG00000223543	TCEAL4P1	13	37316015	37316602	-1
ENSG00000215486	ARL2BPP3	13	37363469	37369187	1
ENSG00000230031	POTEB2	15	21040701	21071643	-1
ENSG00000271337	NDE1P2	13	37378335	37379439	-1
ENSG00000236711	SMAD9-AS1	13	37423503	37424183	-1
ENSG00000228825	LAMTOR3P1	13	37496676	37497045	1
ENSG00000232378	RPL29P28	13	37500575	37501356	-1
ENSG00000226161	EIF4A1P5	13	37512537	37513631	-1
ENSG00000202395	RN7SKP1	13	37740489	37740795	-1
ENSG00000230283	RPS12P24	13	37794997	37795383	-1
ENSG00000230390	LINC01048	13	38055604	38058906	-1
ENSG00000263796	RN7SL609P	21	24052992	24053286	1
ENSG00000199276	RNA5SP26	13	38428989	38429107	-1
ENSG00000228036	HSPD1P9	13	38567222	38568857	-1
ENSG00000223685	LINC00571	13	38624954	38717369	-1
ENSG00000219368	ZNF299P	21	24462350	24464153	-1
ENSG00000236354	LINC00437	13	39107480	39119436	-1
ENSG00000231058	MSANTD2P1	21	24473545	24475396	1
ENSG00000229437	LINC00366	13	39150777	39153131	1
ENSG00000223078	RNU2-55P	21	24654058	24654231	-1
ENSG00000234701	PRDX3P3	13	39191556	39192077	-1
ENSG00000252795	RNU6-56P	13	39353561	39353653	1
ENSG00000270824	IGHD5OR15-5B	15	21215823	21215845	-1
ENSG00000225350	FREM2-AS1	13	39395935	39401707	-1
ENSG00000225221	PLA2G12AP2	13	39476524	39476787	1
ENSG00000270451	IGHD4OR15-4B	15	21216780	21216798	-1
ENSG00000235550	ANKRD26P2	13	39496864	39510336	-1
ENSG00000223822	EEF1A1P1	21	24762579	24763317	1
ENSG00000271255	IGHD3OR15-3B	15	21217888	21217918	-1
ENSG00000214823	NXT1P1	13	39743773	39744088	-1
ENSG00000271305	IGHD2OR15-2B	15	21220377	21220407	-1
ENSG00000264171	MIR4305	13	40238171	40238272	-1
ENSG00000237569	TUBAP	21	24779978	24781448	-1
ENSG00000200526	RNY4P14	13	40359552	40359647	-1
ENSG00000224351	CDKN2AIPNLP3	13	40391878	40392186	-1
ENSG00000138593	SECISBP2L	15	49280673	49338760	-1
ENSG00000270444	AZU1P1	13	40430847	40431231	-1
ENSG00000270185	IGHD1OR15-1B	15	21223129	21223145	-1
ENSG00000230710	LINC00332	13	40755946	40763165	1
ENSG00000271429	RPL17P51	13	40798762	40798999	-1
ENSG00000207458	RNY3P9	13	40800964	40801069	1
ENSG00000252812	RN7SKP2	13	40981259	40981577	-1
ENSG00000215483	LINC00598	13	41025131	41055143	-1
ENSG00000229456	RLIMP1	13	41192875	41195485	1
ENSG00000211491	MIR320D1	13	41301964	41302011	-1
ENSG00000207652	MIR621	13	41384902	41384997	1
ENSG00000168852	TPTE2P5	13	41396432	41495890	-1
ENSG00000233917	POTEB	15	22051853	22083227	-1
ENSG00000166157	TPTE	21	10906201	11029719	-1
ENSG00000176268	CYCSP34	13	41437735	41438038	-1
ENSG00000239827	SUGT1P3	13	41482295	41495910	-1
ENSG00000229473	RGS17P1	13	41566915	41567467	-1
ENSG00000264226	MIR3168	13	41675155	41675236	-1
ENSG00000244264	RN7SL597P	13	41696012	41696305	1
ENSG00000215482	CALM2P3	13	41744836	41745284	-1
ENSG00000225133	MORF4L1P4	13	41773968	41774943	-1
ENSG00000231404	RAC1P3	13	41861877	41862456	-1
ENSG00000223280	RNU6-57P	13	41928693	41928795	-1
ENSG00000214222	TUBBP2	13	41958909	41959319	-1
ENSG00000205240	OR7E36P	13	42005425	42006446	-1
ENSG00000234655	OR7E155P	13	42013952	42015035	-1
ENSG00000266520	RAC1P1	18	22265736	22266315	-1
ENSG00000215480	OR7E37P	13	42016906	42017786	1
ENSG00000264190	MIR5006	13	42142422	42142531	-1
ENSG00000241406	RN7SL515P	13	42381813	42382108	1
ENSG00000206962	RNU6-74P	13	42479254	42479360	1
ENSG00000229696	KARSP1	13	42499734	42501485	1
ENSG00000229248	WBP2P1	18	22596398	22597168	-1
ENSG00000226093	RPS28P8	13	42577566	42577773	1
ENSG00000237263	MAPK6PS3	13	42643068	42645229	-1
ENSG00000242216	RN7SL97P	18	23398200	23398496	-1
ENSG00000270809	CHCHD2P11	13	42755601	42756057	-1
ENSG00000234213	FHP1	13	42830009	42830711	1
ENSG00000243925	RPS24P18	18	23678803	23679190	1
ENSG00000233259	FABP3P2	13	42943374	42943793	-1
ENSG00000188985	DHFRP1	18	23749724	23751313	-1
ENSG00000271216	LINC01050	13	43384502	43386698	-1
ENSG00000229546	LINC00428	13	43416550	43417023	-1
ENSG00000266227	NPM1P2	18	23784833	23785868	1
ENSG00000238025	ZDHHC4P1	13	43507994	43509028	1
ENSG00000263829	FAM60BP	18	23835662	23836319	-1
ENSG00000229928	LINC00400	13	43732767	43733602	1
ENSG00000232540	RPL36P19	13	43968661	43968961	1
ENSG00000238189	ENOX1-AS2	13	44032601	44033259	1
ENSG00000233821	ENOX1-AS1	13	44118054	44122192	1
ENSG00000207160	RNU6-1289P	18	23946265	23946370	-1
ENSG00000166351	POTED	21	14982498	15013906	1
ENSG00000233725	LINC00284	13	44482850	44604597	1
ENSG00000263846	CIAPIN1P	18	24179372	24180302	1
ENSG00000260372	AQP4-AS1	18	24235706	24770662	1
ENSG00000179611	DGKZP1	13	44542560	44545335	1
ENSG00000168675	LDLRAD4	18	13217497	13652754	1
ENSG00000226519	LINC00390	13	44680514	44711372	-1
ENSG00000227258	SMIM2-AS1	13	44716682	44813010	1
ENSG00000235285	SMIM2-IT1	13	44720606	44732358	-1
ENSG00000237361	LINC01071	13	44974386	44980120	-1
ENSG00000230793	SMARCE1P5	13	45168994	45170218	1
ENSG00000188992	LIPI	21	15481134	15583166	-1
ENSG00000237585	LINC00407	13	45225948	45275152	1
ENSG00000235097	LINC00330	13	45373639	45383766	-1
ENSG00000265802	RN7SL49P	13	45576285	45576580	1
ENSG00000223341	RN7SKP3	13	45634864	45635221	1
ENSG00000252055	RNU6-69P	13	45711997	45712100	-1
ENSG00000199477	SNORA31	13	45911615	45911744	-1
ENSG00000185272	RBM11	21	15588451	15600693	1
ENSG00000182974	OR4M2	15	22368478	22369561	1
ENSG00000183706	OR4N4	15	22382382	22383507	1
ENSG00000170919	TPT1-AS1	13	45915480	45965872	1
ENSG00000270505	IGHV1OR15-1	15	22448382	22448819	-1
ENSG00000259261	IGHV4OR15-8	15	22472918	22473353	-1
ENSG00000155304	HSPA13	21	15743436	15755805	-1
ENSG00000214455	RCN1P2	13	45964486	45965402	-1
ENSG00000251015	SLC25A30-AS1	13	45992297	45994506	1
ENSG00000229303	PPIAP25	13	46010256	46010795	1
ENSG00000200709	RNA5SP27	13	46125620	46125738	-1
ENSG00000197414	GOLGA6L1	15	22736246	22746002	1
ENSG00000232786	TIMM9P3	13	46126998	46127271	-1
ENSG00000228869	COX4I1P2	13	46245980	46246526	1
ENSG00000235366	LINC01055	13	46255225	46256554	-1
ENSG00000237876	AKR1B1P4	13	46261683	46262604	-1
ENSG00000235903	CPB2-AS1	13	46626941	46687467	1
ENSG00000238627	RNA5SP489	21	26574521	26574629	1
ENSG00000240767	RN7SL288P	13	46743594	46743883	-1
ENSG00000252854	RN7SKP5	13	46824077	46824348	1
ENSG00000251106	FAM206BP	13	46844212	46844752	1
ENSG00000261097	LINC00563	13	46870580	46871979	-1
ENSG00000223336	RNU2-6P	13	46948536	46948725	-1
ENSG00000252385	RNU6-68P	13	46984589	46984692	1
ENSG00000166200	COPS2	15	49398268	49447858	-1
ENSG00000155307	SAMSN1	21	15857549	15955723	-1
ENSG00000241353	PPP1R2P4	13	46917102	47012325	-1
ENSG00000227019	OR7E101P	13	47034744	47035256	1
ENSG00000205105	COX17P1	13	47064997	47065397	1
ENSG00000230243	FKBP1AP3	13	47079253	47079571	1
ENSG00000224517	HTR2A-AS1	13	47426278	47430434	1
ENSG00000234590	GNG5P5	13	47881217	47881436	1
ENSG00000244521	RN7SL700P	13	48033078	48033369	-1
ENSG00000234145	NAP1L4P3	13	48337595	48338741	1
ENSG00000229423	RPL27AP8	13	48340775	48341220	-1
ENSG00000153575	TUBGCP5	15	22833395	22873892	1
ENSG00000234689	LINC00444	13	48479464	48481492	-1
ENSG00000260388	LINC00562	13	48504290	48506757	-1
ENSG00000227848	SUCLA2-AS1	13	48575525	48576688	1
ENSG00000229111	MED4-AS1	13	48651273	48654127	1
ENSG00000224510	POLR2KP2	13	48708494	48708670	-1
ENSG00000231473	LINC00441	13	48870649	48877797	-1
ENSG00000238086	PPP1R26P1	13	48890999	48894611	-1
ENSG00000177197	PCNPP5	13	48902220	48902700	-1
ENSG00000233456	LINC01077	13	49144775	49147453	-1
ENSG00000180530	NRIP1	21	16333556	16437321	-1
ENSG00000233610	LINC00462	13	49151110	49152224	-1
ENSG00000225131	PSME2P2	13	49345264	49345965	1
ENSG00000244329	UBA52P9	18	24935370	24935728	-1
ENSG00000201662	RNU6-60P	13	49562051	49562153	1
ENSG00000223724	RAD17P2	13	49618215	49620930	-1
ENSG00000265097	RBM22P1	18	24998848	25000399	-1
ENSG00000199788	RNY3P2	13	49669527	49669628	1
ENSG00000235957	COX7CP1	13	49761615	49761806	-1
ENSG00000263405	PA2G4P3	18	25032478	25033621	-1
ENSG00000231665	OGFOD1P1	13	49784558	49786430	-1
ENSG00000236577	SNRPGP14	13	50063106	50063500	1
ENSG00000137824	RMDN3	15	41028082	41048049	-1
ENSG00000266296	ARIH2P1	18	26231696	26233172	1
ENSG00000222148	RNY4P30	13	50463770	50463864	-1
ENSG00000181358	CTAGE10P	13	50464727	50467134	1
ENSG00000251719	RNU6-408P	18	26628584	26628683	1
ENSG00000200064	RNY4P9	13	50482770	50482866	-1
ENSG00000264864	MIR3613	13	50570551	50570637	-1
ENSG00000251702	RNU6-857P	18	28564072	28564181	1
ENSG00000231607	DLEU2	13	50601269	50699856	-1
ENSG00000213885	RPL13AP7	21	26734135	26734745	1
ENSG00000185433	LINC00158	21	26758133	26804013	-1
ENSG00000208006	MIR16-1	13	50623109	50623197	-1
ENSG00000207019	RNU6-167P	18	28925325	28925430	-1
ENSG00000214359	RPL18P10	13	50673467	50674004	1
ENSG00000234883	MIR155HG	21	26934221	26947480	1
ENSG00000232150	ST13P4	13	50746225	50747317	1
ENSG00000260583	LINC00515	21	26955082	26955638	-1
ENSG00000237731	RNGTTP1	21	27015801	27016528	1
ENSG00000223676	RPL34P26	13	50935546	50935899	-1
ENSG00000227054	FDX1P2	21	27064492	27064866	1
ENSG00000252379	RNU6-1002P	18	29249252	29249341	-1
ENSG00000200472	RN7SKP44	18	29298856	29299171	1
ENSG00000137880	GCHFR	15	41056218	41059906	1
ENSG00000265158	LRRC37A7P	18	29304161	29306919	1
ENSG00000237152	DLEU7-AS1	13	51381992	51423190	1
ENSG00000251972	RNU6-123P	21	27315359	27315460	-1
ENSG00000200711	RNA5SP28	13	51387124	51387242	-1
ENSG00000222320	RNU6-1050P	18	29517496	29517602	1
